"run","randomSeed","NumIteraciones","ProbRS","Dimensiones","EsfuerzoMax"
1,1278684001,20000,1000,20,10
3,1278684366,20000,1200,20,20
5,1278684683,20000,1400,20,20
7,1278685074,20000,1600,20,20
9,1278685529,20000,1800,20,20
11,1278685757,20000,2000,20,20
13,1278685987,20000,2200,20,20
15,1278686175,20000,2400,20,20
17,1278686335,20000,2600,20,20
19,1278686502,20000,2800,20,20
21,1278686691,20000,3000,20,20
23,1278686890,20000,3200,20,20
25,1278687076,20000,3400,20,20
27,1278687239,20000,3600,20,20
29,1278687411,20000,3800,20,20
31,1278687584,20000,4000,20,20
33,1278687752,20000,4200,20,20
35,1278687910,20000,4400,20,20
37,1278688073,20000,4600,20,20
39,1278688233,20000,4800,20,20
41,1278688402,20000,5000,20,20
43,1278688562,20000,1100,20,20
45,1278688711,20000,1300,20,20
47,1278688864,20000,1500,20,20
49,1278689032,20000,1700,20,20
51,1278689181,20000,1900,20,20
53,1278689336,20000,2100,20,20
55,1278689491,20000,2300,20,20
57,1278689649,20000,2500,20,20
59,1278689814,20000,2700,20,20
61,1278689978,20000,2900,20,20
63,1278690135,20000,3100,20,20
65,1278690293,20000,3300,20,20
67,1278690453,20000,3500,20,20
69,1278690622,20000,3700,20,20
71,1278690781,20000,3900,20,20
73,1278690934,20000,4100,20,20
75,1278691100,20000,4300,20,20
77,1278691258,20000,4500,20,20
79,1278691436,20000,4700,20,20
81,1278691598,20000,4900,20,20
83,1278691775,20000,1000,20,10
85,1278691896,20000,1200,20,20
87,1278692054,20000,1400,20,20
89,1278692205,20000,1600,20,20
91,1278692362,20000,1800,20,20
93,1278692517,20000,2000,20,20
95,1278692676,20000,2200,20,20
97,1278692841,20000,2400,20,20
99,1278692996,20000,2600,20,20
101,1278693150,20000,2800,20,20
103,1278693313,20000,3000,20,20
105,1278693475,20000,3200,20,20
107,1278693631,20000,3400,20,20
109,1278693795,20000,3600,20,20
111,1278693958,20000,3800,20,20
113,1278694121,20000,4000,20,20
115,1278694277,20000,4200,20,20
117,1278694437,20000,4400,20,20
119,1278694592,20000,4600,20,20
121,1278694755,20000,4800,20,20
123,1278694916,20000,5000,20,20
125,1278695076,20000,1100,20,20
127,1278695229,20000,1300,20,20
129,1278695381,20000,1500,20,20
131,1278695551,20000,1700,20,20
133,1278695712,20000,1900,20,20
135,1278695866,20000,2100,20,20
137,1278696013,20000,2300,20,20
139,1278696171,20000,2500,20,20
141,1278696335,20000,2700,20,20
143,1278696491,20000,2900,20,20
145,1278696649,20000,3100,20,20
147,1278696810,20000,3300,20,20
149,1278696966,20000,3500,20,20
151,1278697127,20000,3700,20,20
153,1278697290,20000,3900,20,20
155,1278697448,20000,4100,20,20
157,1278697611,20000,4300,20,20
159,1278697768,20000,4500,20,20
161,1278697936,20000,4700,20,20
163,1278698093,20000,4900,20,20
165,1278698257,20000,1000,20,10
167,1278698391,20000,1200,20,20
169,1278698544,20000,1400,20,20
171,1278698698,20000,1600,20,20
173,1278698848,20000,1800,20,20
175,1278699004,20000,2000,20,20
177,1278699163,20000,2200,20,20
179,1278699327,20000,2400,20,20
181,1278699485,20000,2600,20,20
183,1278699641,20000,2800,20,20
185,1278699801,20000,3000,20,20
187,1278699953,20000,3200,20,20
189,1278700106,20000,3400,20,20
191,1278700267,20000,3600,20,20
193,1278700427,20000,3800,20,20
195,1278700588,20000,4000,20,20
197,1278700748,20000,4200,20,20
199,1278700907,20000,4400,20,20
201,1278701065,20000,4600,20,20
203,1278701224,20000,4800,20,20
205,1278701383,20000,5000,20,20
207,1278701545,20000,1100,20,20
209,1278701704,20000,1300,20,20
211,1278701860,20000,1500,20,20
213,1278702011,20000,1700,20,20
215,1278702164,20000,1900,20,20
217,1278702312,20000,2100,20,20
219,1278702475,20000,2300,20,20
221,1278702627,20000,2500,20,20
223,1278702777,20000,2700,20,20
225,1278702933,20000,2900,20,20
227,1278703081,20000,3100,20,20
229,1278703238,20000,3300,20,20
231,1278703394,20000,3500,20,20
233,1278703558,20000,3700,20,20
235,1278703716,20000,3900,20,20
237,1278703882,20000,4100,20,20
239,1278704037,20000,4300,20,20
241,1278704204,20000,4500,20,20
243,1278704365,20000,4700,20,20
245,1278704533,20000,4900,20,20
247,1278704701,20000,1000,20,10
249,1278704813,20000,1200,20,20
251,1278704968,20000,1400,20,20
253,1278705116,20000,1600,20,20
255,1278705264,20000,1800,20,20
257,1278705411,20000,2000,20,20
259,1278705567,20000,2200,20,20
261,1278705731,20000,2400,20,20
263,1278705887,20000,2600,20,20
265,1278706057,20000,2800,20,20
267,1278706221,20000,3000,20,20
269,1278706381,20000,3200,20,20
271,1278706543,20000,3400,20,20
273,1278706696,20000,3600,20,20
275,1278706854,20000,3800,20,20
277,1278707016,20000,4000,20,20
279,1278707174,20000,4200,20,20
281,1278707333,20000,4400,20,20
283,1278707498,20000,4600,20,20
285,1278707657,20000,4800,20,20
287,1278707819,20000,5000,20,20
289,1278707987,20000,1100,20,20
291,1278708141,20000,1300,20,20
293,1278708300,20000,1500,20,20
295,1278708454,20000,1700,20,20
297,1278708616,20000,1900,20,20
299,1278708775,20000,2100,20,20
301,1278708922,20000,2300,20,20
303,1278709083,20000,2500,20,20
305,1278709237,20000,2700,20,20
307,1278709399,20000,2900,20,20
309,1278709558,20000,3100,20,20
311,1278709724,20000,3300,20,20
313,1278709884,20000,3500,20,20
315,1278710045,20000,3700,20,20
317,1278710216,20000,3900,20,20
319,1278710382,20000,4100,20,20
321,1278710558,20000,4300,20,20
323,1278710723,20000,4500,20,20
325,1278710888,20000,4700,20,20
327,1278711053,20000,4900,20,20
329,1278711212,20000,1000,20,10
331,1278711337,20000,1200,20,20
333,1278711493,20000,1400,20,20
335,1278711652,20000,1600,20,20
337,1278711805,20000,1800,20,20
339,1278711959,20000,2000,20,20
341,1278712120,20000,2200,20,20
343,1278712281,20000,2400,20,20
345,1278712435,20000,2600,20,20
347,1278712589,20000,2800,20,20
349,1278712747,20000,3000,20,20
351,1278712909,20000,3200,20,20
353,1278713085,20000,3400,20,20
355,1278713247,20000,3600,20,20
357,1278713409,20000,3800,20,20
359,1278713573,20000,4000,20,20
361,1278713737,20000,4200,20,20
363,1278713896,20000,4400,20,20
365,1278714057,20000,4600,20,20
367,1278714218,20000,4800,20,20
369,1278714383,20000,5000,20,20
371,1278714550,20000,1100,20,20
373,1278714703,20000,1300,20,20
375,1278714855,20000,1500,20,20
377,1278715015,20000,1700,20,20
379,1278715168,20000,1900,20,20
381,1278715327,20000,2100,20,20
383,1278715484,20000,2300,20,20
385,1278715637,20000,2500,20,20
387,1278715799,20000,2700,20,20
389,1278715966,20000,2900,20,20
391,1278716122,20000,3100,20,20
393,1278716287,20000,3300,20,20
395,1278716452,20000,3500,20,20
397,1278716612,20000,3700,20,20
399,1278716768,20000,3900,20,20
401,1278716928,20000,4100,20,20
403,1278717082,20000,4300,20,20
405,1278717255,20000,4500,20,20
407,1278717417,20000,4700,20,20
409,1278717584,20000,4900,20,20
2,1278684699,20000,1100,20,20
4,1278685376,20000,1300,20,20
6,1278685674,20000,1500,20,20
8,1278685910,20000,1700,20,20
10,1278686148,20000,1900,20,20
12,1278686302,20000,2100,20,20
14,1278686467,20000,2300,20,20
16,1278686638,20000,2500,20,20
18,1278686818,20000,2700,20,20
20,1278687000,20000,2900,20,20
22,1278687173,20000,3100,20,20
24,1278687335,20000,3300,20,20
26,1278687506,20000,3500,20,20
28,1278687691,20000,3700,20,20
30,1278687844,20000,3900,20,20
32,1278688002,20000,4100,20,20
34,1278688168,20000,4300,20,20
36,1278688326,20000,4500,20,20
38,1278688490,20000,4700,20,20
40,1278688650,20000,4900,20,20
42,1278688802,20000,1000,20,10
44,1278688933,20000,1200,20,20
46,1278689082,20000,1400,20,20
48,1278689235,20000,1600,20,20
50,1278689389,20000,1800,20,20
52,1278689538,20000,2000,20,20
54,1278689690,20000,2200,20,20
56,1278689848,20000,2400,20,20
58,1278690010,20000,2600,20,20
60,1278690167,20000,2800,20,20
62,1278690318,20000,3000,20,20
64,1278690471,20000,3200,20,20
66,1278690637,20000,3400,20,20
68,1278690794,20000,3600,20,20
70,1278690961,20000,3800,20,20
72,1278691125,20000,4000,20,20
74,1278691283,20000,4200,20,20
76,1278691440,20000,4400,20,20
78,1278691600,20000,4600,20,20
80,1278691760,20000,4800,20,20
82,1278691926,20000,5000,20,20
84,1278692087,20000,1100,20,20
86,1278692232,20000,1300,20,20
88,1278692375,20000,1500,20,20
90,1278692529,20000,1700,20,20
92,1278692675,20000,1900,20,20
94,1278692831,20000,2100,20,20
96,1278692985,20000,2300,20,20
98,1278693136,20000,2500,20,20
100,1278693297,20000,2700,20,20
102,1278693449,20000,2900,20,20
104,1278693608,20000,3100,20,20
106,1278693762,20000,3300,20,20
108,1278693919,20000,3500,20,20
110,1278694075,20000,3700,20,20
112,1278694235,20000,3900,20,20
114,1278694399,20000,4100,20,20
116,1278694558,20000,4300,20,20
118,1278694719,20000,4500,20,20
120,1278694880,20000,4700,20,20
122,1278695039,20000,4900,20,20
124,1278695200,20000,1000,20,10
126,1278695328,20000,1200,20,20
128,1278695482,20000,1400,20,20
130,1278695641,20000,1600,20,20
132,1278695794,20000,1800,20,20
134,1278695947,20000,2000,20,20
136,1278696100,20000,2200,20,20
138,1278696252,20000,2400,20,20
140,1278696419,20000,2600,20,20
142,1278696572,20000,2800,20,20
144,1278696731,20000,3000,20,20
146,1278696892,20000,3200,20,20
148,1278697057,20000,3400,20,20
150,1278697214,20000,3600,20,20
152,1278697378,20000,3800,20,20
154,1278697540,20000,4000,20,20
156,1278697692,20000,4200,20,20
158,1278697854,20000,4400,20,20
160,1278698014,20000,4600,20,20
162,1278698171,20000,4800,20,20
164,1278698324,20000,5000,20,20
166,1278698489,20000,1100,20,20
168,1278698639,20000,1300,20,20
170,1278698785,20000,1500,20,20
172,1278698926,20000,1700,20,20
174,1278699077,20000,1900,20,20
176,1278699231,20000,2100,20,20
178,1278699386,20000,2300,20,20
180,1278699541,20000,2500,20,20
182,1278699694,20000,2700,20,20
184,1278699851,20000,2900,20,20
186,1278700010,20000,3100,20,20
188,1278700169,20000,3300,20,20
190,1278700318,20000,3500,20,20
192,1278700476,20000,3700,20,20
194,1278700634,20000,3900,20,20
196,1278700798,20000,4100,20,20
198,1278700949,20000,4300,20,20
200,1278701112,20000,4500,20,20
202,1278701271,20000,4700,20,20
204,1278701418,20000,4900,20,20
206,1278701576,20000,1000,20,10
208,1278701690,20000,1200,20,20
210,1278701847,20000,1400,20,20
212,1278702001,20000,1600,20,20
214,1278702152,20000,1800,20,20
216,1278702310,20000,2000,20,20
218,1278702465,20000,2200,20,20
220,1278702611,20000,2400,20,20
222,1278702774,20000,2600,20,20
224,1278702926,20000,2800,20,20
226,1278703081,20000,3000,20,20
228,1278703233,20000,3200,20,20
230,1278703387,20000,3400,20,20
232,1278703544,20000,3600,20,20
234,1278703701,20000,3800,20,20
236,1278703867,20000,4000,20,20
238,1278704018,20000,4200,20,20
240,1278704182,20000,4400,20,20
242,1278704338,20000,4600,20,20
244,1278704495,20000,4800,20,20
246,1278704658,20000,5000,20,20
248,1278704815,20000,1100,20,20
250,1278704959,20000,1300,20,20
252,1278705120,20000,1500,20,20
254,1278705274,20000,1700,20,20
256,1278705423,20000,1900,20,20
258,1278705590,20000,2100,20,20
260,1278705747,20000,2300,20,20
262,1278705908,20000,2500,20,20
264,1278706070,20000,2700,20,20
266,1278706222,20000,2900,20,20
268,1278706379,20000,3100,20,20
270,1278706537,20000,3300,20,20
272,1278706688,20000,3500,20,20
274,1278706842,20000,3700,20,20
276,1278706998,20000,3900,20,20
278,1278707158,20000,4100,20,20
280,1278707320,20000,4300,20,20
282,1278707477,20000,4500,20,20
284,1278707638,20000,4700,20,20
286,1278707798,20000,4900,20,20
288,1278707965,20000,1000,20,10
290,1278708099,20000,1200,20,20
292,1278708244,20000,1400,20,20
294,1278708389,20000,1600,20,20
296,1278708540,20000,1800,20,20
298,1278708697,20000,2000,20,20
300,1278708849,20000,2200,20,20
302,1278709005,20000,2400,20,20
304,1278709163,20000,2600,20,20
306,1278709318,20000,2800,20,20
308,1278709474,20000,3000,20,20
310,1278709632,20000,3200,20,20
312,1278709791,20000,3400,20,20
314,1278709950,20000,3600,20,20
316,1278710120,20000,3800,20,20
318,1278710294,20000,4000,20,20
320,1278710454,20000,4200,20,20
322,1278710624,20000,4400,20,20
324,1278710785,20000,4600,20,20
326,1278710945,20000,4800,20,20
328,1278711100,20000,5000,20,20
330,1278711262,20000,1100,20,20
332,1278711423,20000,1300,20,20
334,1278711574,20000,1500,20,20
336,1278711723,20000,1700,20,20
338,1278711872,20000,1900,20,20
340,1278712031,20000,2100,20,20
342,1278712185,20000,2300,20,20
344,1278712335,20000,2500,20,20
346,1278712494,20000,2700,20,20
348,1278712649,20000,2900,20,20
350,1278712814,20000,3100,20,20
352,1278712993,20000,3300,20,20
354,1278713154,20000,3500,20,20
356,1278713312,20000,3700,20,20
358,1278713466,20000,3900,20,20
360,1278713615,20000,4100,20,20
362,1278713771,20000,4300,20,20
364,1278713928,20000,4500,20,20
366,1278714090,20000,4700,20,20
368,1278714246,20000,4900,20,20
370,1278714403,20000,1000,20,10
372,1278714520,20000,1200,20,20
374,1278714675,20000,1400,20,20
376,1278714826,20000,1600,20,20
378,1278714983,20000,1800,20,20
380,1278715142,20000,2000,20,20
382,1278715287,20000,2200,20,20
384,1278715437,20000,2400,20,20
386,1278715589,20000,2600,20,20
388,1278715748,20000,2800,20,20
390,1278715901,20000,3000,20,20
392,1278716056,20000,3200,20,20
394,1278716215,20000,3400,20,20
396,1278716385,20000,3600,20,20
398,1278716541,20000,3800,20,20
400,1278716705,20000,4000,20,20
402,1278716857,20000,4200,20,20
404,1278717021,20000,4400,20,20
406,1278717180,20000,4600,20,20
408,1278717343,20000,4800,20,20
410,1278717505,20000,5000,20,20
