"run","randomSeed","NumIteraciones","ProbRS","Dimensiones","EsfuerzoMax"
1,1279078151,20000,1000,20,10
3,1279078692,20000,1200,20,20
5,1279079081,20000,1400,20,20
7,1279079422,20000,1600,20,20
9,1279079762,20000,1800,20,20
11,1279079967,20000,2000,20,20
13,1279080132,20000,2200,20,20
15,1279080292,20000,2400,20,20
17,1279080459,20000,2600,20,20
19,1279080643,20000,2800,20,20
21,1279080815,20000,3000,20,20
23,1279080982,20000,3200,20,20
25,1279081154,20000,3400,20,20
27,1279081321,20000,3600,20,20
29,1279081483,20000,3800,20,20
31,1279081652,20000,4000,20,20
33,1279081821,20000,4200,20,20
35,1279081992,20000,4400,20,20
37,1279082152,20000,4600,20,20
39,1279082319,20000,4800,20,20
41,1279082491,20000,5000,20,20
43,1279082657,20000,1100,20,20
45,1279082813,20000,1300,20,20
47,1279082970,20000,1500,20,20
49,1279083126,20000,1700,20,20
51,1279083297,20000,1900,20,20
53,1279083452,20000,2100,20,20
55,1279083609,20000,2300,20,20
57,1279083774,20000,2500,20,20
59,1279083951,20000,2700,20,20
61,1279084121,20000,2900,20,20
63,1279084282,20000,3100,20,20
65,1279084442,20000,3300,20,20
67,1279084606,20000,3500,20,20
69,1279084776,20000,3700,20,20
71,1279084936,20000,3900,20,20
73,1279085109,20000,4100,20,20
75,1279085268,20000,4300,20,20
77,1279085453,20000,4500,20,20
79,1279085620,20000,4700,20,20
81,1279085788,20000,4900,20,20
83,1279085957,20000,1000,20,10
85,1279086080,20000,1200,20,20
87,1279086230,20000,1400,20,20
89,1279086402,20000,1600,20,20
91,1279086577,20000,1800,20,20
93,1279086724,20000,2000,20,20
95,1279086882,20000,2200,20,20
97,1279087032,20000,2400,20,20
99,1279087206,20000,2600,20,20
101,1279087380,20000,2800,20,20
103,1279087538,20000,3000,20,20
105,1279087717,20000,3200,20,20
107,1279087899,20000,3400,20,20
109,1279088055,20000,3600,20,20
111,1279088227,20000,3800,20,20
113,1279088405,20000,4000,20,20
115,1279088578,20000,4200,20,20
117,1279088745,20000,4400,20,20
119,1279088912,20000,4600,20,20
121,1279089090,20000,4800,20,20
123,1279089255,20000,5000,20,20
125,1279089421,20000,1100,20,20
127,1279089616,20000,1300,20,20
129,1279089784,20000,1500,20,20
131,1279089956,20000,1700,20,20
133,1279090132,20000,1900,20,20
135,1279090299,20000,2100,20,20
137,1279090484,20000,2300,20,20
139,1279090662,20000,2500,20,20
141,1279090836,20000,2700,20,20
143,1279090998,20000,2900,20,20
145,1279091172,20000,3100,20,20
147,1279091342,20000,3300,20,20
149,1279091511,20000,3500,20,20
151,1279091674,20000,3700,20,20
153,1279091846,20000,3900,20,20
155,1279092013,20000,4100,20,20
157,1279092170,20000,4300,20,20
159,1279092347,20000,4500,20,20
161,1279092534,20000,4700,20,20
163,1279092712,20000,4900,20,20
165,1279092887,20000,1000,20,10
167,1279093005,20000,1200,20,20
169,1279093154,20000,1400,20,20
171,1279093312,20000,1600,20,20
173,1279093470,20000,1800,20,20
175,1279093648,20000,2000,20,20
177,1279093833,20000,2200,20,20
179,1279093994,20000,2400,20,20
181,1279094159,20000,2600,20,20
183,1279094331,20000,2800,20,20
185,1279094508,20000,3000,20,20
187,1279094685,20000,3200,20,20
189,1279094869,20000,3400,20,20
191,1279095034,20000,3600,20,20
193,1279095198,20000,3800,20,20
195,1279095369,20000,4000,20,20
197,1279095543,20000,4200,20,20
199,1279095713,20000,4400,20,20
201,1279095883,20000,4600,20,20
203,1279096069,20000,4800,20,20
205,1279096246,20000,5000,20,20
207,1279096415,20000,1100,20,20
209,1279096597,20000,1300,20,20
211,1279096761,20000,1500,20,20
213,1279096920,20000,1700,20,20
215,1279097104,20000,1900,20,20
217,1279097260,20000,2100,20,20
219,1279097425,20000,2300,20,20
221,1279097607,20000,2500,20,20
223,1279097777,20000,2700,20,20
225,1279097947,20000,2900,20,20
227,1279098118,20000,3100,20,20
229,1279098283,20000,3300,20,20
231,1279098472,20000,3500,20,20
233,1279098640,20000,3700,20,20
235,1279098808,20000,3900,20,20
237,1279098976,20000,4100,20,20
239,1279099173,20000,4300,20,20
241,1279099332,20000,4500,20,20
243,1279099507,20000,4700,20,20
245,1279099681,20000,4900,20,20
247,1279099851,20000,1000,20,10
249,1279099967,20000,1200,20,20
251,1279100130,20000,1400,20,20
253,1279100294,20000,1600,20,20
255,1279100452,20000,1800,20,20
257,1279100625,20000,2000,20,20
259,1279100776,20000,2200,20,20
261,1279100946,20000,2400,20,20
263,1279101114,20000,2600,20,20
265,1279101278,20000,2800,20,20
267,1279101439,20000,3000,20,20
269,1279101620,20000,3200,20,20
271,1279101777,20000,3400,20,20
273,1279101937,20000,3600,20,20
275,1279102110,20000,3800,20,20
277,1279102278,20000,4000,20,20
279,1279102454,20000,4200,20,20
281,1279102636,20000,4400,20,20
283,1279102818,20000,4600,20,20
285,1279102985,20000,4800,20,20
287,1279103159,20000,5000,20,20
289,1279103353,20000,1100,20,20
291,1279103541,20000,1300,20,20
293,1279103692,20000,1500,20,20
295,1279103847,20000,1700,20,20
297,1279104013,20000,1900,20,20
299,1279104174,20000,2100,20,20
301,1279104337,20000,2300,20,20
303,1279104505,20000,2500,20,20
