"tick","run","random_seed","req","req_KB"
1.0,1,1279078151,400,400
3927.0,1,1279078151,107,0
1.0,3,1279078692,400,400
6121.0,3,1279078692,98,0
1.0,5,1279079081,400,400
5639.0,5,1279079081,77,0
1.0,7,1279079422,400,400
5477.0,7,1279079422,71,0
1.0,9,1279079762,400,400
5741.0,9,1279079762,64,0
1.0,11,1279079967,400,400
5555.0,11,1279079967,55,0
1.0,13,1279080132,400,400
5378.0,13,1279080132,49,0
1.0,15,1279080292,400,400
5426.0,15,1279080292,47,0
1.0,17,1279080459,400,400
5283.0,17,1279080459,48,0
1.0,19,1279080643,400,400
5408.0,19,1279080643,42,0
1.0,21,1279080815,400,400
5080.0,21,1279080815,35,0
1.0,23,1279080982,400,400
5327.0,23,1279080982,32,0
1.0,25,1279081154,400,400
5372.0,25,1279081154,34,0
1.0,27,1279081321,400,400
5236.0,27,1279081321,31,0
1.0,29,1279081483,400,400
5218.0,29,1279081483,31,0
1.0,31,1279081652,400,400
5276.0,31,1279081652,24,0
1.0,33,1279081821,400,400
5221.0,33,1279081821,25,0
1.0,35,1279081992,400,400
5104.0,35,1279081992,26,0
1.0,37,1279082152,400,400
5265.0,37,1279082152,18,0
1.0,39,1279082319,400,400
5234.0,39,1279082319,20,0
1.0,41,1279082491,400,400
5196.0,41,1279082491,22,0
1.0,43,1279082657,400,400
6111.0,43,1279082657,107,0
1.0,45,1279082813,400,400
5801.0,45,1279082813,90,0
1.0,47,1279082970,400,400
5689.0,47,1279082970,84,0
1.0,49,1279083126,400,400
5575.0,49,1279083126,62,0
1.0,51,1279083297,400,400
5435.0,51,1279083297,63,0
1.0,53,1279083452,400,400
5497.0,53,1279083452,56,0
1.0,55,1279083609,400,400
5276.0,55,1279083609,43,0
1.0,57,1279083774,400,400
5424.0,57,1279083774,43,0
1.0,59,1279083951,400,400
5406.0,59,1279083951,40,0
1.0,61,1279084121,400,400
5098.0,61,1279084121,32,0
1.0,63,1279084282,400,400
5152.0,63,1279084282,37,0
1.0,65,1279084442,400,400
5231.0,65,1279084442,36,0
1.0,67,1279084606,400,400
5275.0,67,1279084606,32,0
1.0,69,1279084776,400,400
5265.0,69,1279084776,32,0
1.0,71,1279084936,400,400
5245.0,71,1279084936,27,0
1.0,73,1279085109,400,400
5199.0,73,1279085109,25,0
1.0,75,1279085268,400,400
5343.0,75,1279085268,35,0
1.0,77,1279085453,400,400
4972.0,77,1279085453,25,0
1.0,79,1279085620,400,400
4896.0,79,1279085620,22,0
1.0,81,1279085788,400,400
4880.0,81,1279085788,18,0
1.0,83,1279085957,400,400
4029.0,83,1279085957,84,0
1.0,85,1279086080,400,400
5835.0,85,1279086080,101,0
1.0,87,1279086230,400,400
5738.0,87,1279086230,90,0
1.0,89,1279086402,400,400
5570.0,89,1279086402,66,0
1.0,91,1279086577,400,400
5397.0,91,1279086577,71,0
1.0,93,1279086724,400,400
5545.0,93,1279086724,54,0
1.0,95,1279086882,400,400
5370.0,95,1279086882,53,0
1.0,97,1279087032,400,400
5398.0,97,1279087032,46,0
1.0,99,1279087206,400,400
5482.0,99,1279087206,45,0
1.0,101,1279087380,400,400
5412.0,101,1279087380,47,0
1.0,103,1279087538,400,400
5251.0,103,1279087538,30,0
1.0,105,1279087717,400,400
5219.0,105,1279087717,37,0
1.0,107,1279087899,400,400
5189.0,107,1279087899,40,0
1.0,109,1279088055,400,400
5218.0,109,1279088055,29,0
1.0,111,1279088227,400,400
5254.0,111,1279088227,32,0
1.0,113,1279088405,400,400
5297.0,113,1279088405,25,0
1.0,115,1279088578,400,400
5144.0,115,1279088578,25,0
1.0,117,1279088745,400,400
5356.0,117,1279088745,23,0
1.0,119,1279088912,400,400
5280.0,119,1279088912,17,0
1.0,121,1279089090,400,400
5221.0,121,1279089090,25,0
1.0,123,1279089255,400,400
5253.0,123,1279089255,22,0
1.0,125,1279089421,400,400
6120.0,125,1279089421,116,0
1.0,127,1279089616,400,400
5895.0,127,1279089616,95,0
1.0,129,1279089784,400,400
5957.0,129,1279089784,81,0
1.0,131,1279089956,400,400
5529.0,131,1279089956,61,0
1.0,133,1279090132,400,400
5878.0,133,1279090132,59,0
1.0,135,1279090299,400,400
5423.0,135,1279090299,54,0
1.0,137,1279090484,400,400
5274.0,137,1279090484,54,0
1.0,139,1279090662,400,400
5382.0,139,1279090662,47,0
1.0,141,1279090836,400,400
5442.0,141,1279090836,52,0
1.0,143,1279090998,400,400
5480.0,143,1279090998,43,0
1.0,145,1279091172,400,400
5310.0,145,1279091172,43,0
1.0,147,1279091342,400,400
5058.0,147,1279091342,35,0
1.0,149,1279091511,400,400
5344.0,149,1279091511,33,0
1.0,151,1279091674,400,400
5210.0,151,1279091674,26,0
1.0,153,1279091846,400,400
5065.0,153,1279091846,31,0
1.0,155,1279092013,400,400
5115.0,155,1279092013,32,0
1.0,157,1279092170,400,400
5141.0,157,1279092170,31,0
1.0,159,1279092347,400,400
5039.0,159,1279092347,15,0
1.0,161,1279092534,400,400
5184.0,161,1279092534,17,0
1.0,163,1279092712,400,400
5117.0,163,1279092712,16,0
1.0,165,1279092887,400,400
4016.0,165,1279092887,106,0
1.0,167,1279093005,400,400
5694.0,167,1279093005,103,0
1.0,169,1279093154,400,400
5452.0,169,1279093154,80,0
1.0,171,1279093312,400,400
5676.0,171,1279093312,77,0
1.0,173,1279093470,400,400
5838.0,173,1279093470,61,0
1.0,175,1279093648,400,400
5501.0,175,1279093648,65,0
1.0,177,1279093833,400,400
5555.0,177,1279093833,47,0
1.0,179,1279093994,400,400
5243.0,179,1279093994,47,0
1.0,181,1279094159,400,400
5449.0,181,1279094159,49,0
1.0,183,1279094331,400,400
5475.0,183,1279094331,32,0
1.0,185,1279094508,400,400
5246.0,185,1279094508,35,0
1.0,187,1279094685,400,400
5331.0,187,1279094685,39,0
1.0,189,1279094869,400,400
5225.0,189,1279094869,33,0
1.0,191,1279095034,400,400
5132.0,191,1279095034,30,0
1.0,193,1279095198,400,400
5150.0,193,1279095198,29,0
1.0,195,1279095369,400,400
5292.0,195,1279095369,22,0
1.0,197,1279095543,400,400
5235.0,197,1279095543,22,0
1.0,199,1279095713,400,400
5072.0,199,1279095713,21,0
1.0,201,1279095883,400,400
5404.0,201,1279095883,20,0
1.0,203,1279096069,400,400
5151.0,203,1279096069,17,0
1.0,205,1279096246,400,400
5124.0,205,1279096246,13,0
1.0,207,1279096415,400,400
6325.0,207,1279096415,103,0
1.0,209,1279096597,400,400
5945.0,209,1279096597,93,0
1.0,211,1279096761,400,400
5598.0,211,1279096761,81,0
1.0,213,1279096920,400,400
5826.0,213,1279096920,71,0
1.0,215,1279097104,400,400
5595.0,215,1279097104,67,0
1.0,217,1279097260,400,400
5399.0,217,1279097260,57,0
1.0,219,1279097425,400,400
5579.0,219,1279097425,44,0
1.0,221,1279097607,400,400
5298.0,221,1279097607,39,0
1.0,223,1279097777,400,400
5281.0,223,1279097777,39,0
1.0,225,1279097947,400,400
5499.0,225,1279097947,51,0
1.0,227,1279098118,400,400
5237.0,227,1279098118,43,0
1.0,229,1279098283,400,400
5374.0,229,1279098283,32,0
1.0,231,1279098472,400,400
5207.0,231,1279098472,39,0
1.0,233,1279098640,400,400
4909.0,233,1279098640,28,0
1.0,235,1279098808,400,400
5197.0,235,1279098808,24,0
1.0,237,1279098976,400,400
5348.0,237,1279098976,26,0
1.0,239,1279099173,400,400
4982.0,239,1279099173,22,0
1.0,241,1279099332,400,400
5230.0,241,1279099332,23,0
1.0,243,1279099507,400,400
5337.0,243,1279099507,24,0
1.0,245,1279099681,400,400
5078.0,245,1279099681,30,0
1.0,247,1279099851,400,400
3995.0,247,1279099851,108,0
1.0,249,1279099967,400,400
5851.0,249,1279099967,84,0
1.0,251,1279100130,400,400
5935.0,251,1279100130,81,0
1.0,253,1279100294,400,400
5666.0,253,1279100294,82,0
1.0,255,1279100452,400,400
5810.0,255,1279100452,59,0
1.0,257,1279100625,400,400
5209.0,257,1279100625,59,0
1.0,259,1279100776,400,400
